Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
82,81,2009-04-15,36-023,DAL,,HOU,W (+11),1,40:39,4,7,.571,3,3,1.000,0,0,,2,8,10,12,0,0,4,3,11,14.7,+14
1,1,2009-10-27,36-218,DAL,,WAS,L (-11),1,36:45,2,6,.333,0,3,.000,0,0,,0,6,6,6,2,0,0,2,4,7.8,-9
2,2,2009-10-30,36-221,DAL,@,LAL,W (+14),1,33:31,1,4,.250,0,2,.000,0,0,,1,3,4,11,1,0,6,1,2,3.5,+24
3,3,2009-10-31,36-222,DAL,@,LAC,W (+9),1,39:49,1,6,.167,1,5,.200,0,0,,2,4,6,10,3,1,2,4,3,8.9,+6
4,4,2009-11-03,36-225,DAL,,UTA,W (+11),1,36:58,6,11,.545,5,8,.625,2,2,1.000,0,5,5,6,2,0,7,3,19,13.2,+11
5,5,2009-11-04,36-226,DAL,@,NOH,L (-7),1,43:53,3,12,.250,3,7,.429,0,0,,1,4,5,10,0,0,2,1,9,8.3,-1
6,6,2009-11-07,36-229,DAL,,TOR,W (+28),1,26:21,1,1,1.000,1,1,1.000,0,0,,0,2,2,6,1,0,2,1,3,6.1,+6
7,7,2009-11-10,36-232,DAL,,HOU,W (+18),1,29:04,2,3,.667,1,1,1.000,0,0,,0,3,3,11,0,1,1,1,5,11.6,+21
8,8,2009-11-11,36-233,DAL,@,SAS,L (-9),1,36:52,2,6,.333,1,3,.333,0,0,,0,6,6,9,2,1,3,2,5,8.6,-15
9,9,2009-11-13,36-235,DAL,@,MIN,W (+12),1,26:53,2,5,.400,2,5,.400,0,0,,0,7,7,6,1,1,4,1,6,6.9,+16
10,10,2009-11-15,36-237,DAL,@,DET,W (+5),1,36:29,4,8,.500,2,4,.500,0,0,,1,3,4,7,2,0,3,1,10,11.1,+14
11,11,2009-11-16,36-238,DAL,@,MIL,W (+2),1,39:48,3,7,.429,3,4,.750,0,0,,2,8,10,17,2,0,5,0,9,18.0,+6
12,12,2009-11-18,36-240,DAL,,SAS,W (+5),1,44:33,1,6,.167,0,4,.000,0,0,,0,11,11,8,4,0,1,3,2,8.9,+4
13,13,2009-11-20,36-242,DAL,,SAC,W (+2),1,32:25,5,13,.385,5,9,.556,0,0,,1,3,4,11,3,0,2,1,15,17.8,-3
14,14,2009-11-24,36-246,DAL,,GSW,L (-8),1,35:40,1,4,.250,1,2,.500,2,2,1.000,0,10,10,13,1,0,3,0,5,12.7,-2
15,15,2009-11-25,36-247,DAL,@,HOU,W (+31),1,29:29,4,7,.571,1,3,.333,0,0,,0,2,2,7,1,0,3,0,9,9.2,+5
16,16,2009-11-27,36-249,DAL,@,IND,W (+21),1,26:19,4,7,.571,3,4,.750,0,0,,0,5,5,4,0,1,2,0,11,10.7,+8
17,17,2009-11-28,36-250,DAL,@,CLE,L (-16),1,35:34,3,6,.500,3,5,.600,0,0,,0,2,2,9,0,0,0,2,9,12.1,-7
18,18,2009-11-30,36-252,DAL,,PHI,W (+2),1,39:03,8,16,.500,5,8,.625,1,2,.500,0,6,6,11,4,3,2,2,22,26.4,-2
19,19,2009-12-02,36-254,DAL,@,NJN,W (+16),1,34:12,5,6,.833,2,2,1.000,4,4,1.000,1,7,8,10,5,1,4,1,16,24.9,+24
20,20,2009-12-04,36-256,DAL,@,MEM,L (-16),1,30:21,4,12,.333,3,7,.429,2,2,1.000,2,1,3,7,1,0,4,1,13,9.4,-15
21,21,2009-12-05,36-257,DAL,,ATL,L (-5),1,38:56,1,5,.200,1,5,.200,0,2,.000,0,8,8,6,1,1,2,1,3,5.0,+1
22,22,2009-12-08,36-260,DAL,,PHO,W (+1),1,37:34,3,9,.333,1,7,.143,0,0,,1,5,6,11,1,0,1,3,7,10.6,-5
23,23,2009-12-11,36-263,DAL,@,MIA,W (+13),1,36:44,2,6,.333,2,6,.333,1,2,.500,0,6,6,11,2,0,3,3,7,10.5,+25
24,24,2009-12-12,36-264,DAL,,CHA,W (+1),1,41:57,1,6,.167,1,5,.200,2,2,1.000,1,2,3,9,6,1,2,5,5,11.5,+9
25,25,2009-12-14,36-266,DAL,,NOH,W (+4),1,36:28,4,9,.444,3,8,.375,2,2,1.000,0,5,5,13,1,0,3,1,13,16.5,+9
26,26,2009-12-16,36-268,DAL,@,OKC,W (+14),1,35:40,2,3,.667,2,2,1.000,0,0,,0,5,5,9,0,1,1,3,6,11.0,+14
27,27,2009-12-18,36-270,DAL,,HOU,L (-8),1,43:28,3,11,.273,0,4,.000,2,2,1.000,0,11,11,10,4,2,0,3,8,16.0,+6
28,28,2009-12-20,36-272,DAL,,CLE,W (+7),1,36:34,3,8,.375,2,5,.400,2,2,1.000,0,4,4,11,1,0,1,0,10,14.5,+7
29,29,2009-12-22,36-274,DAL,,POR,L (-4),1,36:56,1,6,.167,1,6,.167,0,0,,1,5,6,6,0,0,0,0,3,5.6,-2
30,30,2009-12-26,36-278,DAL,,MEM,W (+5),1,35:36,4,10,.400,2,6,.333,0,0,,0,5,5,10,3,2,2,3,10,14.3,+8
31,31,2009-12-27,36-279,DAL,@,DEN,W (+8),1,36:04,2,4,.500,1,2,.500,2,2,1.000,0,5,5,9,1,2,4,2,7,10.4,+5
32,32,2009-12-31,36-283,DAL,@,HOU,L (-3),1,42:34,7,10,.700,0,2,.000,0,0,,1,2,3,5,1,0,1,1,14,14.2,-5
33,33,2010-01-02,36-285,DAL,@,SAC,W (+8),1,31:28,6,7,.857,2,2,1.000,0,0,,0,2,2,7,3,0,1,3,14,17.8,-3
34,34,2010-01-03,36-286,DAL,@,LAL,L (-35),1,26:24,0,6,.000,0,6,.000,0,0,,0,4,4,5,0,0,1,1,0,-0.9,-32
35,35,2010-01-05,36-288,DAL,,DET,W (+5),1,36:43,3,8,.375,2,5,.400,0,0,,1,3,4,8,1,1,1,2,8,10.7,+9
