Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
49,45,2001-02-04,29-107,MIA,,NYK,L (-3),1,45:56,7,18,.389,0,4,.000,7,9,.778,2,4,6,1,2,2,4,6,21,10.7,-3
50,46,2001-02-06,29-109,MIA,,IND,W (+13),1,40:32,7,14,.500,1,3,.333,0,0,,2,3,5,4,1,2,2,2,15,12.7,+19
51,47,2001-02-13,29-116,MIA,,LAC,W (+2),1,48:09,8,18,.444,3,4,.750,3,4,.750,2,1,3,3,0,0,2,4,22,12.4,+2
52,48,2001-02-15,29-118,MIA,@,TOR,W (+7),1,41:24,6,18,.333,1,6,.167,5,8,.625,1,8,9,3,0,1,3,4,18,7.9,-1
53,49,2001-02-17,29-120,MIA,@,CHI,L (-7),1,40:30,5,13,.385,3,6,.500,1,2,.500,0,6,6,6,4,1,4,6,14,10.8,+1
54,50,2001-02-20,29-123,MIA,@,NYK,L (-2),1,35:13,4,13,.308,1,2,.500,2,2,1.000,0,2,2,1,1,3,3,3,11,3.7,-6
55,51,2001-02-21,29-124,MIA,,PHO,L (-15),1,31:44,6,11,.545,0,0,,4,4,1.000,1,2,3,2,1,0,0,0,16,14.4,-27
56,52,2001-02-24,29-127,MIA,,NJN,W (+5),1,38:08,5,13,.385,2,3,.667,4,4,1.000,4,5,9,3,0,1,2,2,16,13.2,-2
57,53,2001-02-27,29-130,MIA,,WAS,W (+8),1,1:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+4
58,54,2001-02-28,29-131,MIA,@,PHI,L (-10),1,36:43,9,16,.563,1,5,.200,3,4,.750,2,6,8,0,2,1,2,4,22,16.3,0
59,55,2001-03-02,29-133,MIA,@,DET,W (+4),1,38:53,7,16,.438,3,6,.500,8,10,.800,2,4,6,1,1,0,1,2,25,18.3,+4
60,56,2001-03-04,29-135,MIA,@,CLE,W (+12),1,33:23,7,18,.389,4,5,.800,0,0,,2,3,5,4,1,0,4,2,18,9.5,+11
61,57,2001-03-05,29-136,MIA,,DET,W (+3),1,10:52,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,3,2,2,-3.2,-11
62,58,2001-04-10,29-172,MIA,,PHI,W (+2),0,9:17,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.8,+1
63,59,2001-04-11,29-173,MIA,@,BOS,W (+5),0,14:37,1,2,.500,1,2,.500,0,0,,0,2,2,2,1,0,1,2,3,3.2,-6
64,60,2001-04-13,29-175,MIA,@,TOR,L (-12),0,26:40,3,10,.300,2,5,.400,3,3,1.000,1,7,8,7,2,1,1,1,11,14.2,-3
65,61,2001-04-15,29-177,MIA,,ORL,L (-17),0,24:11,1,3,.333,0,1,.000,2,2,1.000,0,2,2,3,3,0,1,3,4,5.8,-11
66,62,2001-04-17,29-179,MIA,,MIL,W (+2),0,34:30,8,14,.571,3,7,.429,4,4,1.000,1,4,5,3,2,2,1,2,23,22.0,+2
67,63,2001-04-18,29-180,MIA,@,ORL,W (+12),1,36:01,8,11,.727,2,3,.667,4,6,.667,1,5,6,4,2,1,2,1,22,22.0,+9
1,1,2001-10-31,30-011,MIA,,TOR,W (+5),1,31:31,6,15,.400,2,2,1.000,6,7,.857,1,1,2,0,0,1,1,6,20,9.8,-3
2,2,2001-11-02,30-013,MIA,,CLE,L (-7),1,42:23,3,15,.200,1,6,.167,3,3,1.000,0,2,2,4,1,2,2,3,10,3.3,-8
3,3,2001-11-03,30-014,MIA,@,ATL,L (-7),1,39:25,7,14,.500,2,5,.400,1,2,.500,0,3,3,3,1,1,2,3,17,11.1,-8
4,4,2001-11-06,30-017,MIA,,SEA,W (+2),1,46:51,8,18,.444,3,5,.600,6,6,1.000,0,9,9,3,2,2,3,2,25,20.0,+9
5,5,2001-11-08,30-019,MIA,@,MIL,L (-4),1,41:37,12,25,.480,3,9,.333,2,3,.667,1,3,4,3,2,5,1,3,29,22.9,-4
6,6,2001-11-10,30-021,MIA,,SAC,L (-15),1,36:42,5,10,.500,0,2,.000,2,6,.333,0,5,5,1,2,1,1,4,12,7.7,-2
7,7,2001-11-13,30-024,MIA,,PHI,L (-6),1,42:31,5,13,.385,2,4,.500,8,11,.727,1,9,10,5,2,2,6,3,20,14.8,-5
8,8,2001-11-15,30-026,MIA,@,NYK,L (-9),1,41:43,9,21,.429,1,5,.200,3,3,1.000,2,5,7,3,0,0,1,3,22,13.7,-8
9,9,2001-11-16,30-027,MIA,,CHH,L (-9),1,42:09,8,15,.533,3,7,.429,3,3,1.000,1,4,5,2,2,1,0,4,22,19.1,+2
