Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
62,62,1998-03-11,32-199,IND,@,DET,L (-31),1,30:03,4,12,.333,1,3,.333,5,6,.833,2,2,4,3,0,0,2,2,14,8.1,-23
63,63,1998-03-13,32-201,IND,,MIL,W (+20),1,28:10,5,10,.500,2,4,.500,3,4,.750,0,1,1,3,1,0,0,3,15,11.8,+19
64,64,1998-03-15,32-203,IND,@,NYK,W (+5),1,43:39,7,19,.368,3,9,.333,0,0,,0,4,4,2,0,0,0,2,17,8.3,+9
65,65,1998-03-17,32-205,IND,,CHI,L (-6),1,37:25,4,14,.286,1,8,.125,3,3,1.000,2,2,4,1,2,0,1,2,12,6.7,-8
66,66,1998-03-19,32-207,IND,@,WAS,W (+4),1,34:23,7,15,.467,1,4,.250,5,6,.833,0,2,2,2,0,0,1,1,20,12.5,+6
67,67,1998-03-20,32-208,IND,,NJN,W (+7),1,37:13,5,11,.455,3,6,.500,8,10,.800,0,3,3,3,1,0,0,0,21,18.5,+17
68,68,1998-03-22,32-210,IND,@,MIL,W (+2),1,45:18,10,17,.588,4,7,.571,8,10,.800,0,4,4,2,0,1,3,2,32,22.8,+10
69,69,1998-03-25,32-213,IND,,HOU,L (-5),1,36:43,3,13,.231,2,7,.286,8,8,1.000,0,6,6,4,2,1,1,2,16,13.6,-3
70,70,1998-03-27,32-215,IND,,CHH,W (+37),1,20:05,9,11,.818,5,6,.833,1,1,1.000,0,1,1,3,0,0,1,3,24,20.1,+19
71,,1998-03-29,32-217,IND,,SAS,L (-19),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
72,71,1998-03-31,32-219,IND,,LAC,W (+22),1,27:17,7,11,.636,5,7,.714,0,0,,2,2,4,4,1,0,1,1,19,18.5,+27
73,72,1998-04-02,32-221,IND,,MIN,W (+3),1,33:38,8,13,.615,2,5,.400,3,4,.750,2,3,5,5,0,0,1,1,21,19.1,+12
